winner_name;loser_name;event_date;method;round;time;time_format;bout_type;event_name;event_location;winner_stance;loser_stance;winner;delta_KD;delta_sig_str_pct;delta_total_str_pct;delta_TD_pct;delta_sub_att;delta_rev;delta_ctrl;delta_sig_str_head_acc_pct;delta_sig_str_body_acc_pct;delta_sig_str_leg_acc_pct;delta_sig_str_distance_acc_pct;delta_sig_str_clinch_acc_pct;delta_sig_str_ground_acc_pct;delta_sig_str_head_tar_pct;delta_sig_str_body_tar_pct;delta_sig_str_leg_tar_pct;delta_sig_str_distance_pos_pct;delta_sig_str_clinch_pos_pct;delta_sig_str_ground_pos_pct;delta_height;delta_reach;delta_slpm_cs;delta_str_acc_cs;delta_sapm_cs;delta_str_def_cs;delta_td_avg_cs;delta_td_acc_cs;delta_td_def_cs;delta_sub_avg_cs
ILIA TOPURIA;MAX HOLLOWAY;26/10/2024;KO/TKO;3.0;1:34;5 Rnd (5-5-5-5-5);UFC Featherweight Title Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;1.0;14.0;12.87;100.0;0.0;0.0;45.0;11.85;35.24;11.14;11.98;0.0;100.0;6.0;-2.0;-4.0;-6.0;0.0;5.0;-10.16;0.0;-4.76;-1.0;-2.71;8.0;4.04;-16.0;16.0;3.9
KHAMZAT CHIMAEV;ROBERT WHITTAKER;26/10/2024;Submission;1.0;3:34;5 Rnd (5-5-5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;blue;0.0;-25.0;-19.35;50.0;1.0;0.0;200.0;66.67;100.0;-100.0;-100.0;0.0;100.0;66.0;33.0;-100.0;-100.0;0.0;100.0;5.08;5.08;4.51;32.0;-3.34;6.0;4.24;48.0;-84.0;3.1
MAGOMED ANKALAEV;ALEKSANDAR RAKIC;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Light Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;0.0;3.0;4.85;0.0;0.0;0.0;31.0;12.4;0.86;15.0;2.57;5.56;0.0;18.0;24.0;-41.0;-4.0;4.0;0.0;-2.54;-7.62;-0.82;1.0;-0.45;13.0;0.43;8.0;-5.0;-0.2
LERONE MURPHY;DAN IGE;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;-1.0;9.0;13.82;27.0;0.0;-2.0;-150.0;8.71;8.09;-33.33;5.74;37.5;2.27;-7.0;13.0;-6.0;2.0;10.0;-12.0;5.08;5.08;-1.09;-4.0;-1.29;5.0;-0.81;6.0;-18.0;0.4
SHARA MAGOMEDOV;ARMEN PETROSYAN;26/10/2024;KO/TKO;2.0;4:52;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;1.0;6.0;7.43;0.0;0.0;0.0;-19.0;11.95;13.86;-11.84;6.23;0.0;0.0;8.0;32.0;-40.0;-1.0;1.0;0.0;;;;;;;;;;
IBO ASLAN;RAFAEL CERQUEIRA;26/10/2024;KO/TKO;1.0;0:51;3 Rnd (5-5-5);Light Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;-23.0;-22.22;0.0;0.0;0.0;0.0;78.79;100.0;-100.0;-22.22;0.0;0.0;92.0;7.0;-100.0;0.0;0.0;0.0;;;;;;;;;;
GEOFF NEAL;RAFAEL DOS ANJOS;26/10/2024;KO/TKO;1.0;1:30;3 Rnd (5-5-5);Welterweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Southpaw;Southpaw;red;1.0;30.0;30.99;100.0;0.0;0.0;27.0;30.0;0.0;50.0;23.4;0.0;83.33;16.0;-9.0;-9.0;-28.0;0.0;27.0;7.62;12.7;1.45;3.0;1.71;0.0;-1.43;13.0;34.0;-0.4
MATEUSZ REBECKI;MYKTYBEK OROLBAI;26/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Catch Weight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;1.0;3.0;0.98;35.0;0.0;-1.0;19.0;1.93;36.36;-15.0;-2.25;83.33;-14.29;-2.0;5.0;-2.0;-22.0;7.0;15.0;;;;;;;;;;
ABUS MAGOMEDOV;BRUNNO FERREIRA;26/10/2024;Submission;3.0;3:14;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;4.0;12.19;50.0;0.0;-1.0;203.0;-8.9;-2.27;100.0;5.61;-50.0;-50.0;-30.0;-1.0;30.0;11.0;-3.0;-6.0;;;;;;;;;;
KENNEDY NZECHUKWU;CHRIS BARNETT;26/10/2024;KO/TKO;1.0;4:27;3 Rnd (5-5-5);Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Southpaw;;red;0.0;33.0;33.63;0.0;0.0;0.0;0.0;42.36;28.98;22.22;33.2;0.0;100.0;29.0;27.0;-57.0;-2.0;0.0;1.0;;;;;;;;;;
FARID BASHARAT;VICTOR HUGO;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;11.0;15.48;32.0;-1.0;0.0;259.0;11.75;11.54;33.34;11.3;0.0;57.14;14.0;-18.0;4.0;-5.0;-1.0;6.0;;;;;;;;;;
ISMAIL NAURDIEV;BRUNO SILVA;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;;red;0.0;19.0;26.46;23.0;0.0;0.0;351.0;14.55;8.33;50.0;17.83;18.75;100.0;-14.0;11.0;2.0;-6.0;0.0;6.0;-5.08;;3.17;52.0;1.3;68.0;1.25;71.0;70.0;0.2
RINAT FAKHRETDINOV;CARLOS LEAL;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;6.0;0.42;-15.0;0.0;0.0;181.0;9.79;-22.31;0.0;8.04;-34.67;0.0;8.0;-1.0;-6.0;1.0;-1.0;0.0;;;;;;;;;;
ANTHONY HERNANDEZ;MICHEL PEREIRA;19/10/2024;KO/TKO;5.0;2:22;5 Rnd (5-5-5-5-5);Middleweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;26.0;27.97;34.0;-1.0;-1.0;886.0;39.05;30.13;83.33;8.65;35.71;82.91;49.0;-52.0;3.0;-55.0;-9.0;63.0;-2.54;5.08;1.18;1.0;2.25;-11.0;2.0;-4.0;-30.0;1.4
ROB FONT;KYLER PHILLIPS;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;14.0;10.17;-80.0;0.0;0.0;-203.0;21.59;9.04;-76.92;14.18;66.66;-71.43;31.0;-5.0;-26.0;7.0;6.0;-13.0;0.0;-2.54;-0.11;-4.0;0.79;1.0;-1.68;-27.0;-23.0;0.4
CHARLES JOHNSON;SUMUDAERJI;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;;red;1.0;-9.0;-4.89;33.0;-2.0;-1.0;128.0;-5.54;21.51;-28.49;-10.53;-27.78;64.71;10.0;14.0;-24.0;-15.0;-2.0;16.0;;;;;;;;;;
CAMERON SMOTHERMAN;JAKE HADLEY;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;;blue;0.0;1.0;-2.46;-50.0;0.0;0.0;-113.0;1.18;-4.16;-4.91;0.87;-50.0;0.0;-2.0;22.0;-20.0;2.0;-1.0;0.0;;;;;;;;;;
DARREN ELKINS;DANIEL PINEDA;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;-14.0;-11.76;25.0;-2.0;0.0;211.0;-16.8;20.0;-60.0;-5.95;-57.14;-13.94;9.0;1.0;-9.0;17.0;4.0;-21.0;7.62;5.08;0.09;-11.0;0.36;8.0;1.15;4.0;14.0;-0.6
ASU ALMABAYEV;MATHEUS NICOLAU;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;Orthodox;blue;1.0;2.0;-6.77;16.0;-1.0;0.0;317.0;-11.33;33.33;34.92;4.53;33.33;0.0;-19.0;5.0;13.0;2.0;4.0;-7.0;;;;;;;;;;
JEAN MATSUMOTO;BRAD KATONA;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;Orthodox;blue;0.0;-19.0;-19.54;-23.0;0.0;0.0;-91.0;-19.83;-32.31;-12.22;-15.5;-20.0;-50.0;-7.0;-7.0;13.0;13.0;-12.0;-1.0;;;;;;;;;;
JOSELYNE EDWARDS;TAMIRES VIDAL;19/10/2024;Submission;3.0;4:33;3 Rnd (5-5-5);Women's Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;;red;0.0;11.0;12.99;57.0;2.0;0.0;115.0;16.97;12.63;1.95;12.62;6.82;73.33;15.0;-2.0;-13.0;2.0;-15.0;13.0;;;;;;;;;;
ELISE REED;JESSICA PENNE;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;Orthodox;blue;0.0;19.0;18.52;-7.0;0.0;0.0;-166.0;28.72;22.74;-28.41;21.48;23.08;0.0;23.0;-18.0;-6.0;13.0;-13.0;0.0;;;;;;;;;;
MELISSA MARTINEZ;ALICE ARDELEAN;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;;red;0.0;8.0;8.74;0.0;0.0;0.0;-41.0;3.71;-9.36;5.77;8.67;-50.0;0.0;-19.0;9.0;10.0;2.0;-1.0;0.0;;;;;;;;;;
AUSTEN LANE;ROBELIS DESPAIGNE;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Heavyweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;;red;0.0;-7.0;0.32;37.0;0.0;0.0;538.0;-25.53;-14.29;-9.09;2.38;-100.0;60.0;-44.0;20.0;24.0;6.0;-32.0;26.0;;;;;;;;;;
BRANDON ROYVAL;TATSURO TAIRA;12/10/2024;Decision - Split;5.0;5:00;5 Rnd (5-5-5-5-5);Flyweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;Southpaw;;red;0.0;11.0;3.99;60.0;2.0;2.0;-590.0;15.42;-37.5;-100.0;6.92;91.67;14.12;11.0;-3.0;-7.0;-12.0;8.0;3.0;;;;;;;;;;
JUNYONG PARK;BRAD TAVARES;12/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;Orthodox;Orthodox;blue;0.0;12.0;13.14;33.0;0.0;0.0;350.0;9.89;0.0;15.0;11.13;60.0;40.0;-8.0;1.0;7.0;-4.0;3.0;1.0;-7.62;-2.54;1.2;6.0;0.17;3.0;2.43;37.0;-34.0;0.0
CHIDI NJOKUANI;JARED GOODEN;12/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;Orthodox;red;0.0;30.0;11.32;-25.0;-1.0;0.0;407.0;25.35;32.46;23.33;25.0;2.82;10.0;-19.0;19.0;-2.0;-44.0;28.0;15.0;7.62;;-4.74;4.0;-9.47;0.0;-1.0;-100.0;-20.0;0.0
GRANT DAWSON;RAFA GARCIA;12/10/2024;KO/TKO;2.0;1:42;3 Rnd (5-5-5);Lightweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;Switch;Orthodox;red;0.0;7.0;-20.76;50.0;0.0;0.0;309.0;0.0;8.33;100.0;-15.53;-100.0;59.09;6.0;-11.0;4.0;-69.0;-20.0;88.0;7.62;5.08;-0.07;25.0;-4.5;-3.0;3.44;34.0;-60.0;1.6
DANIEL RODRIGUEZ;ALEX MORONO;12/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;Southpaw;Orthodox;red;0.0;19.0;15.49;100.0;0.0;0.0;56.0;3.32;27.14;8.33;17.7;100.0;0.0;-43.0;33.0;9.0;-5.0;4.0;0.0;5.08;5.08;2.72;4.0;2.43;1.0;0.9;34.0;43.0;-0.1
RAMAZAN TEMIROV;CJ VERGARA;12/10/2024;KO/TKO;1.0;2:50;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;;blue;3.0;16.0;16.82;0.0;0.0;0.0;5.0;30.8;-50.0;33.33;15.0;0.0;60.0;53.0;-8.0;-46.0;-14.0;0.0;13.0;;;;;;;;;;
PAT SABATINI;JONATHAN PEARCE;12/10/2024;Submission;1.0;4:06;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;Switch;blue;0.0;-40.0;-24.0;66.0;1.0;0.0;236.0;50.0;0.0;-100.0;-50.0;100.0;50.0;66.0;-17.0;-50.0;-67.0;33.0;33.0;;;;;;;;;;
THEMBA GORIMBO;NIKO PRICE;12/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;Orthodox;red;0.0;23.0;5.23;77.0;1.0;0.0;494.0;15.13;20.0;80.0;27.67;-53.85;65.52;-17.0;1.0;16.0;-5.0;-23.0;27.0;;;;;;;;;;
JUNIOR TAFA;SEAN SHARAF;12/10/2024;KO/TKO;2.0;2:15;3 Rnd (5-5-5);Heavyweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;;red;0.0;11.0;11.21;-12.0;0.0;0.0;-44.0;13.53;20.91;-100.0;8.16;-33.33;-36.36;12.0;1.0;-13.0;17.0;-1.0;-15.0;;;;;;;;;;
JULIA POLASTRI;CORY MCKENNA;12/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;Orthodox;red;0.0;28.0;20.46;-16.0;0.0;0.0;-127.0;16.69;14.74;-7.14;22.24;19.55;50.0;-30.0;24.0;4.0;-26.0;24.0;2.0;;;;;;;;;;
CODY HADDON;DAN ARGUETA;12/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;;blue;0.0;12.0;8.34;34.0;-1.0;0.0;-172.0;13.28;14.19;0.0;11.67;40.91;-37.5;9.0;3.0;-11.0;15.0;-9.0;-5.0;;;;;;;;;;
CLAYTON CARPENTER;LUCAS ROCHA;12/10/2024;Submission;2.0;2:12;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;;;red;0.0;15.0;11.39;66.0;1.0;0.0;278.0;17.64;12.5;-28.57;5.48;50.0;81.25;6.0;-15.0;9.0;-36.0;-3.0;38.0;;;;;;;;;;
ALEX PEREIRA;KHALIL ROUNTREE JR.;05/10/2024;KO/TKO;4.0;4:32;5 Rnd (5-5-5-5-5);UFC Light Heavyweight Title Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;;Southpaw;red;1.0;29.0;29.02;0.0;0.0;0.0;0.0;33.15;15.43;-2.8;28.25;50.0;0.0;17.0;-13.0;-4.0;-2.0;2.0;0.0;;;-3.06;-38.0;-3.63;-49.0;0.0;0.0;-50.0;-0.2
JULIANNA PENA;RAQUEL PENNINGTON;05/10/2024;Decision - Split;5.0;5:00;5 Rnd (5-5-5-5-5);UFC Women's Bantamweight Title Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Orthodox;Orthodox;blue;-1.0;6.0;7.48;66.0;1.0;0.0;307.0;12.48;-6.06;14.29;6.59;-16.67;0.0;28.0;-22.0;-5.0;2.0;-2.0;0.0;-2.54;5.08;-0.82;-1.0;-1.5;-10.0;1.37;25.0;-42.0;0.1
MARIO BAUTISTA;JOSE ALDO;05/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Switch;Orthodox;blue;0.0;-9.0;-0.84;0.0;0.0;0.0;435.0;-15.63;-11.84;-8.33;-9.09;16.66;-100.0;-27.0;13.0;15.0;-1.0;7.0;-5.0;5.08;-2.54;2.26;0.0;1.26;-7.0;-0.09;-23.0;-21.0;-0.1
ROMAN DOLIDZE;KEVIN HOLLAND;05/10/2024;KO/TKO;1.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Orthodox;Orthodox;red;0.0;-7.0;-21.82;100.0;0.0;0.0;170.0;14.87;25.0;9.09;-14.29;0.0;60.87;57.0;-6.0;-50.0;-74.0;0.0;73.0;-2.54;-12.7;-1.16;-5.0;-0.83;5.0;0.67;5.0;-18.0;1.5
KAYLA HARRISON;KETLEN VIEIRA;05/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Bantamweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;;Orthodox;blue;0.0;19.0;3.73;25.0;0.0;0.0;474.0;17.7;60.83;-22.22;1.79;-11.76;77.78;11.0;9.0;-21.0;-53.0;15.0;38.0;;;;;;;;;;
JOAQUIN BUCKLEY;STEPHEN THOMPSON;05/10/2024;KO/TKO;3.0;2:17;3 Rnd (5-5-5);Welterweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Southpaw;Orthodox;blue;1.0;-10.0;-5.06;57.0;0.0;0.0;250.0;-11.37;-2.78;-33.33;-5.85;-31.11;50.0;-10.0;12.0;-3.0;9.0;-12.0;2.0;-5.08;2.54;0.34;-7.0;2.66;-7.0;0.28;-29.0;22.0;0.0
IASMIN LUCINDO;MARINA RODRIGUEZ;05/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;;Orthodox;blue;0.0;8.0;4.37;-25.0;0.0;1.0;269.0;2.47;-2.2;50.0;9.28;-26.67;0.0;-21.0;15.0;6.0;6.0;-6.0;0.0;;;;;;;;;;
ALEXANDER HERNANDEZ;AUSTIN HUBBARD;05/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Lightweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Orthodox;Orthodox;blue;0.0;6.0;8.26;0.0;0.0;0.0;35.0;5.93;-1.63;-12.98;4.52;78.57;0.0;1.0;-12.0;11.0;3.0;-3.0;0.0;-2.54;2.54;0.12;-13.0;1.23;1.0;0.84;-22.0;9.0;0.0
CESAR ALMEIDA;IHOR POTIERIA;05/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;;;red;0.0;1.0;1.05;-37.0;1.0;1.0;-77.0;12.0;-25.0;-31.25;-3.85;66.67;-31.82;6.0;4.0;-10.0;-24.0;-1.0;24.0;;;;;;;;;;
RYAN SPANN;OVINCE SAINT PREUX;05/10/2024;Submission;1.0;1:35;3 Rnd (5-5-5);Light Heavyweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Orthodox;Southpaw;red;0.0;-25.0;-25.0;0.0;1.0;0.0;0.0;-28.21;40.0;0.0;-25.0;0.0;0.0;27.0;22.0;-49.0;0.0;0.0;0.0;5.08;-2.54;0.87;-1.0;0.42;2.0;0.53;1.0;-6.0;1.1
TECIA PENNINGTON;CARLA ESPARZA;05/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;;Orthodox;blue;0.0;22.0;2.68;-57.0;0.0;0.0;-220.0;3.64;25.0;-10.87;22.82;62.5;-60.0;-41.0;3.0;39.0;9.0;6.0;-15.0;;;;;;;;;;
COURT MCGEE;TIM MEANS;05/10/2024;Submission;1.0;3:19;3 Rnd (5-5-5);Welterweight Bout;UFC 307: Pereira vs. Rountree Jr.;Salt Lake City, Utah, USA;Orthodox;Orthodox;red;0.0;20.0;-5.71;100.0;1.0;0.0;118.0;27.78;8.33;0.0;25.18;0.0;0.0;24.0;-19.0;-6.0;0.0;0.0;0.0;-7.62;0.0;-0.26;-12.0;0.36;0.0;0.68;-20.0;-1.0;0.2
RENATO MOICANO;BENOIT SAINT DENIS;28/09/2024;TKO - Doctor's Stoppage;2.0;5:00;5 Rnd (5-5-5-5-5);Lightweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Orthodox;;red;0.0;28.0;23.47;33.0;0.0;0.0;288.0;40.15;-71.43;-20.0;6.9;0.0;91.67;40.0;-40.0;0.0;-66.0;0.0;66.0;;;;;;;;;;
NASSOURDINE IMAVOV;BRENDAN ALLEN;28/09/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Orthodox;Orthodox;red;0.0;9.0;1.01;-10.0;0.0;0.0;-19.0;14.97;20.0;0.0;10.08;17.78;-27.78;23.0;-5.0;-19.0;-2.0;-8.0;9.0;2.54;0.0;0.62;2.0;-2.54;20.0;-0.67;-25.0;10.0;0.0
WILLIAM GOMIS;JOANDERSON BRITO;28/09/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;red;0.0;17.0;14.03;-50.0;-2.0;1.0;-168.0;22.63;4.17;25.0;14.3;26.19;-100.0;6.0;24.0;-31.0;-10.0;24.0;-13.0;;;;;;;;;;
BRYAN BATTLE;KEVIN JOUSSET;28/09/2024;KO/TKO;2.0;3:47;3 Rnd (5-5-5);Welterweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;blue;0.0;-2.0;1.94;0.0;0.0;0.0;199.0;7.14;-9.42;10.53;0.41;-24.31;0.0;28.0;0.0;-28.0;3.0;-3.0;0.0;;;;;;;;;;
MORGAN CHARRIERE;GABRIEL MIRANDA;28/09/2024;KO/TKO;2.0;0:27;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;red;1.0;39.0;37.9;75.0;0.0;1.0;65.0;34.79;72.73;50.0;32.35;16.67;87.5;15.0;-22.0;6.0;-29.0;-8.0;36.0;;;;;;;;;;
FARES ZIAM;MATT FREVOLA;28/09/2024;KO/TKO;3.0;2:59;3 Rnd (5-5-5);Lightweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Orthodox;Orthodox;red;1.0;34.0;29.77;67.0;0.0;0.0;116.0;41.23;20.24;33.33;41.63;7.78;60.0;32.0;-25.0;-7.0;21.0;-31.0;10.0;10.16;10.16;-0.83;10.0;-2.07;8.0;-2.09;-26.0;25.0;-1.1
ION CUTELABA;IVAN ERSLAN;28/09/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Light Heavyweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Southpaw;;red;0.0;-19.0;-12.69;-25.0;0.0;-1.0;-200.0;-23.34;-35.71;-7.69;-20.17;2.38;50.0;-21.0;3.0;19.0;0.0;1.0;0.0;;;;;;;;;;
OUMAR SY;DA WOON JUNG;28/09/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Light Heavyweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;red;0.0;36.0;31.59;28.0;0.0;-1.0;173.0;25.33;40.94;46.95;35.23;-14.29;0.0;-14.0;4.0;10.0;0.0;0.0;0.0;;;;;;;;;;
LUDOVIT KLEIN;ROOSEVELT ROBERTS;28/09/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Lightweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Southpaw;Orthodox;red;0.0;7.0;3.35;66.0;0.0;0.0;488.0;10.59;-15.15;20.0;4.42;45.56;-57.89;7.0;-8.0;1.0;-17.0;4.0;13.0;-17.78;-2.54;4.08;20.0;0.89;-10.0;-1.75;-53.0;-58.0;-1.1
TAYLOR LAPILUS;VINCE MORALES;28/09/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;Southpaw;Orthodox;red;0.0;19.0;15.78;-33.0;0.0;0.0;-172.0;16.06;30.13;43.06;16.78;37.26;0.0;3.0;0.0;-3.0;-2.0;2.0;0.0;-2.54;7.62;-0.45;6.0;-2.16;8.0;0.58;40.0;26.0;0.6
AILIN PEREZ;DARIA ZHELEZNIAKOVA;28/09/2024;Submission;1.0;3:52;3 Rnd (5-5-5);Women's Bantamweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;red;0.0;17.0;24.34;-50.0;1.0;0.0;63.0;31.43;-50.0;50.0;1.14;100.0;0.0;-9.0;-20.0;28.0;-38.0;14.0;22.0;;;;;;;;;;
DANIEL BAREZ;VICTOR ALTAMIRANO;28/09/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Moicano vs. Saint Denis;Paris, Ile-de-France, France;;;red;1.0;11.0;13.63;0.0;0.0;0.0;69.0;11.11;29.97;0.0;9.89;0.0;75.0;11.0;-13.0;1.0;-9.0;0.0;8.0;;;;;;;;;;
