red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
ARNOLD ALLEN;DAN HOOKER;03/19/2022;['-', '-', '-'];['-', '-', '-']
CARLA ESPARZA;TECIA PENNINGTON;10/05/2024;['28', '28', '27'];['29', '29', '30']
GILBERT BURNS;JORGE MASVIDAL;04/08/2023;['30', '29', '30'];['27', '28', '27']
MAKI PITOLO;DUSKO TODOROVIC;12/04/2021;['-', '-', '-'];['-', '-', '-']
AILIN PEREZ;DARIA ZHELEZNIAKOVA;09/28/2024;['-', '-', '-'];['-', '-', '-']
HOLLY HOLM;YANA SANTOS;03/25/2023;['30', '30', '30'];['26', '27', '27']
KHALIL ROUNTREE JR.;KARL ROBERSON;03/12/2022;['10', '10', '9'];['9', '9', '10']
MORGAN CHARRIERES;GABRIEL MIRANDA;09/28/2024;['10', '10', '10'];['9', '9', '9']
GERALD MEERSCHAERT;JOE PYFER;04/08/2023;['-', '-', '-'];['-', '-', '-']
JULIAN EROSA;CHRISTIAN RODRIGUEZ;07/13/2024;['-', '-', '-'];['-', '-', '-']
CUB SWANSON;HAKEEM DAWODU;08/12/2023;['29', '29', '29'];['28', '28', '28']
BILL ALGEO;JOANDERSON BRITO;01/15/2022;['30', '29', '29'];['27', '28', '28']
SEUNG WOO CHOI;JARNO ERRENS;08/26/2023;['30', '29', '29'];['27', '28', '28']
LUANA CAROLINA;LUCIE PUDILOVA;07/20/2024;['29', '30', '29'];['28', '27', '28']
CODY DURDEN;BRUNO SILVA;07/20/2024;['10', '10', '10'];['9', '9', '9']
BRYAN BATTLE;TAKASHI SATO;08/06/2022;['-', '-', '-'];['-', '-', '-']
MICKEY GALL;JORDAN WILLIAMS;07/24/2021;['-', '-', '-'];['-', '-', '-']
JEREMY STEPHENS;MATEUSZ GAMROT;07/17/2021;['-', '-', '-'];['-', '-', '-']
NICOLAE NEGUMEREANU;IHOR POTIERIA;07/30/2022;['10', '10', '10'];['9', '9', '9']
KYLER PHILLIPS;RAULIAN PAIVA;07/24/2021;['28', '28', '28'];['29', '28', '29']
OBAN ELLIOTT;VAL WOODBURN;02/17/2024;['30', '29', '30'];['27', '28', '27']
RICKY SIMON;JACK SHORE;07/16/2022;['10', '10', '10'];['9', '9', '9']
DANIEL MARCOS;AORIQILENG;02/10/2024;['10', '10', '10'];['9', '9', '9']
VINICIUS OLIVEIRA;BENARDO SOPAJ;03/02/2024;['19', '19', '19'];['19', '19', '19']
JAIRZINHO ROZENSTRUIK;SHAMIL GAZIEV;03/02/2024;['38', '39', '40'];['38', '37', '36']
ANDREA LEE;MIRANDA MAVERICK;02/17/2024;['28', '27', '27'];['29', '30', '30']
KENNEDY NZECHUKWU;KARL ROBERSON;07/09/2022;['20', '20', '20'];['18', '18', '18']
MAGOMED ANKALAEV;JOHNNY WALKER;01/13/2024;['9', '10', '9'];['10', '9', '10']
BRUNO SILVA;JP BUYS;03/20/2021;['10', '10', '10'];['9', '9', '9']
JAN BLACHOWICZ;ISRAEL ADESANYA;03/06/2021;['49', '49', '49'];['45', '46', '45']
CODY DURDEN;CARLOS MOTA;10/29/2022;['29', ‘30', '29'];['28', '27', '28']
MILES JOHNS;KEVIN NATMIDAD;10/31/2020;['20', '20', '20'];['18', '18', '18']
ANTHONY SMITH;JIMMY CRUTE;04/24/2021;['10', '10', '10'];['9', '9', '9']
ANDREAS MICHAILIDIS;KB BHULLAR;05/01/2021;['29', '30', '30'];['28', '27', '27']
MARIO BAUTISTA;BENITO LOPEZ;11/05/2022;['-', '-', '-'];['-', '-', '-']
HUNTER AZURE;JACK SHORE;04/10/2021;['27', '27', '29'];['30', '30', '28']
FERNANDO PADILLA;KYLE NELSON;09/16/2023;['28', '28', '27'];['29', '29', '30']
MARC-ANDRE BARRIAULT;ABU AZAITAR;03/27/2021;['19', '19', '19'];['19', '19', '19']
ASU ALMABAYEV;JOSE JOHNSON;06/15/2024;['30', '30', '30'];['27', '27', '27']
JOSEFINE KNUTSSON;JULIA POLASTRI;06/15/2024;['29', '29', '29'];['28', '28', '28']
GILLIAN ROBERTSON;MIRANDA MAVERICK;03/27/2021;['27', '28', '27'];['30', '29', '30']
JAMIE MULLARKEY;JOHN MAKDESSI;09/10/2023;['29', '29', '29'];['28', '28', '28']
DARREN ELKINS;EDUARDO GARAGORRI;11/07/2020;['20', '19', '19'];['18', '19', '19']
ASHLEY YODER;MIRANDA GRANGER;11/14/2020;['30', '29', '29'];['26', '27', '27']
BRYAN BATTLE;AJ FLETCHER;09/23/2023;['9', '9', '9'];['10', '10', '10']
JOAQUIN BUCKLEY;ANTONIO ARROYO;09/18/2021;['18', '19', '19'];['20', '19', '19']
BRYAN BARBERENA;RAFAEL DOS ANJOS;12/03/2022;['9', '9', '9'];['10', '10', '10']
ZHANG WEILI;JOANNA JEDRZEJCZYK;06/12/2022;['10', '10', '10'];['9', '9', '9']
TIM MEANS;KEVIN HOLLAND;06/18/2022;['9', '9', '9'];['10', '10', '10']
JONATHAN PEARCE;OMAR MORALES;09/25/2021;['10', '10', '10'];['9', '9', '9']
BOBBY GREEN;ALAN PATRICK;09/12/2020;['30', '30', '30'];['27', '27', '27']
KETLEN VIEIRA;RAQUEL PENNINGTON;01/14/2023;['28', '28', '29'];['29', '29', '28']
NEIL MAGNY;SHAVKAT RAKHMONOV;06/25/2022;['9', '9', '9'];['10', '10', '10']
DAN ARGUETA;NICK AGUIRRE;01/14/2023;['30', '30', '30'];['27', '27', '27']
CODY DURDEN;CHARLES JOHNSON;04/29/2023;['30', '30', '30'];['27', '27', '27']
BRYAN BARBERENA;ANTHONY IVY;09/12/2020;['30', '30', '29'];['27', '27', '28']
BRIAN KELLEHER;DOMINGO PILARTE;08/21/2021;['30', '30', '30'];['27', '27', '27']
CARLOS ULBERG;IHOR POTIERIA;05/13/2023;['-', '-', '-'];['-', '-', '-']
KENNEDY NZECHOKW!;DEVIN CLARK;05/06/2023;['10', '10', '10'];['9', '9', '9']
CLAY GUIDA;MARK MADSEN;08/21/2021;['28', '27', '29'];['29', '30', '28']
CLAY GUIDA;SCOTT HOLTZMAN;12/03/2022;['28', '29', '29'];['29', '28', '28']
KENNEDY NZECHUKWU;ION CUTELABA;11/19/2022;['9', '9', '9'];['10', '10', '10']
CHASE SHERMAN;WALDO CORTES-ACOSTA;11/19/2022;['28', '28', '27'];['29', '29', '30']
BOBBY GREEN;NASRAT HAQPARAST;02/12/2022;['30', '30', '30'];['27', '27', '27']
MICHAEL JOHNSON;MARC DIAKIESE;12/03/2022;['29', '29', '30'];['28', '28', '27']
KHAOS WILLIAMS;ROLANDO BEDOYA;05/06/2023;['29', '29', '27'];['28', '28', '30']
PARKER PORTER;CHASE SHERMAN;08/21/2021;['30', '30', '29'];['27', '27', '28']
BEA MALECKI;JOSIANE NUNES;08/21/2021;['-', '-', '-'];['-', '-', '-']
TIM MEANS;ALEX MORONO;05/13/2023;['10', '10', '10'];['9', '9', '9']
MARTIN BUDAY;JAKE COLLIER;04/29/2023;['29', '29', '29'];['28', '28', '28']
ALLAN NASCIMENTO;CARLOS HERNANDEZ;01/14/2023;['-', '-', '-'];['-', '-', '-']
SABINA MAZO;JUSTINE KISH;09/12/2020;['18', '19', '18'];['20', '19', '20']
BILLY QUARANTILLO;KYLE NELSON;09/12/2020;['19', '19', '20'];['19', '19', '18']
ARMAN TSARUKYAN;MATEUSZ GAMROT;06/25/2022;['47', '47', '47'];['48', '48', '48']
PUNAHELE SORIANO;ROMAN KOPYLOV;01/14/2023;['9', '9', '9'];['10', '10', '10']
CALVIN KATTAR;JOSH EMMETT;06/18/2022;['47', '48', '47'];['48', '47', '48']
MATTHEW SEMELSBERGER;MARTIN SANO;09/25/2021;['-', '-', '-'];['-', '-', '-']
NATE MANESS;TONY GRAVELY;09/18/2021;['9', '9', '9'];['10', '10', '10']
VALENTINA SHEVCHENKO;TAILA SANTOS;06/12/2022;['48', '47', '49'];['47', '48', '46']
STEPHEN THOMPSON;KEVIN HOLLAND;12/03/2022;['39', '39', '39'];['36', '37', '36']
BRENDAN ALLEN;SEAN STRICKLAND;11/14/2020;['9', '9', '9'];['10', '10', '10']
RICARDO RAMOS;CHARLES JOURDAIN;09/23/2023;['-', '-', '-'];['-', '-', '-']
MAX GRIFFIN;RAMIZ BRAHIMAJ;11/07/2020;['19', '20', '20'];['19', '18', '18']
JAMIE MULLARKEY;KHAMA WORTHY;03/27/2021;['-', '-', '-'];['-', '-', '-']
JARED CANNONIER;NASSOURDINE IMAVOV;06/08/2024;['29', '29', '28'];['28', '28', '29']
NASRAT HAQPARAST;LANDON QUINONES;09/10/2023;['30', '30', '30'];['27', '27', '27']
LOOPY GODINEZ;ELISE REED;09/16/2023;['10', '10', '10'];['8', '9', '8']
JOSH QUINLAN;ADAM FUGITT;06/15/2024;['28', '28', '29'];['29', '29', '28']
DEREK BRUNSON;KEVIN HOLLAND;03/20/2021;['49', '49', '49'];['45', '46', '46']
YORGAN DE CASTRO;JARJIS DANHO;04/10/2021;['-', '-', '-'];['-', '-', '-']
LOMA LOOKBOONMEE;SAM HUGHES;05/01/2021;['29', '29', '29'];['28', '28', '28']
MIRANDA MAVERICK;SHANNA YOUNG;11/05/2022;['30', '30', '30'];['26', '26', '26']
CHASE HOOPER;STEVE GARCIA;10/29/2022;['-', '-', '-'];['-', '-', '-']
URIAH HALL;CHRIS WEIDMAN;04/24/2021;['3', '8', '7'];['8', '10', '10']
DUSTIN JACOBY;JUSTIN LEDET;10/31/2020;['-', '-', '-'];['-', '-', '-']
AMANDA NUNES;MEGAN ANDERSON;03/06/2021;['-', '-', '-'];['-', '-', '-']
JIM MILLER;GABRIEL BENITEZ;01/13/2024;['20', '20', '20'];['18', '18', '18']
LEON EDWARDS;BELAL MUHAMMAD;03/13/2021;['10', '10', '10'];['9', '9', '9']
VITOR PETRINO;TYSON PEDRO;03/02/2024;['30', '30', '29'];['27', '27', '28']
RONNIE LAWRENCE;SAIDYOKUB KAKHRAMONOV;07/09/2022;['27', '27', '26'];['30', '30', '30']
JACK HERMANSSON;JOE PYFER;02/10/2024;['48', '48', '48'];['47', '47', '47']
BRANDON MORENO;DEIVESON FIGUEIREDO;01/22/2022;['47', '47', '47'];['48', '48', '48']
ROMAN DOLIDZE;NASSOURDINE IMAVOV;02/03/2024;['44', '46', '47'];['5Q49', '49', '48']
BILL ALGEO;HERBERT BURNS;07/16/2022;['10', '10', '10'];['9', '9', '9']
AIEMANN ZAHABI;JAVID BASHARAT;03/02/2024;['29', '29', '29'];['28', '28', '28']
JOSH QUINLAN;DANNY BARLOW;02/17/2024;['18', '18', '18'];['20', '20', '20']
CORY SANDHAGEN;TJ DILLASHAW;07/24/2021;['48', '47', '47'];['47', '48', '48']
MARION RENEAU;MIESHA TATE;07/17/2021;['18', '18', '18'];['20', '20', '20']
JOSELYNE EDWARDS;JI YEON KIM;07/30/2022;['30', '29', '28'];['27', '28', '29']
SAM ALVEY;MICHAL OLEKSIEJCZUK;08/06/2022;['-', '-', '-'];['-', '-', '-']
NASSOURDINE IMAVOV;IAN HEINISCH;07/24/2021;['10', '10', '10'];['9', '9', '9']
DOOHO CHOI;BILL ALGEO;07/20/2024;['10', '9', '9'];['9', '10', '10']
ALJAMAIN STERLING;SEAN O'MALLEY;08/19/2023;['10', '10', '10'];['9', '9', '9']
JAMIE PICKETT;JOSEPH HOLMES;01/15/2022;['29', '29', '29'];['28', '28', '28']
MOHAMMED USMAN;THOMAS PETERSEN;07/20/2024;['27', '27', '27'];['30', '30', '30']
ABDUL RAZAK ALHASSAN;CODY BRUNDAGE;07/13/2024;['-', '-', '-'];['-', '-', '-']
KHALIL ROUNTREE JR.;CHRIS DAUKAUS;08/12/2023;['-', '-', '-'];['-', '-', '-']
MICHELLE WATERSON-GOMEZ;LUANA PINHEIRO;04/08/2023;['28', '28', '29'];['29', '29', '28']
KEVIN JOUSSET;BRYAN BATTLE;09/28/2024;['9', '10', '10'];['10', '10', '9']
SODIQ YUSUFF;ALEX CACERES;03/12/2022;['29', '30', '30'];['28', '27', '27']
MARLON VERA;CORY SANDHAGEN;03/25/2023;['46', '45', '48'];['49', '50', '47']
TAYLOR LAPILUS;VINCE MORALES;09/28/2024;['30', '30', '30'];['27', '27', '27']
ALEX PEREIRA;ISRAEL ADESANYA;04/08/2023;['9', '9', '9'];['10', '10', '10']
RYAN SPANN;OVINCE SAINT PREUX;10/05/2024;['-', '-', '-'];['-', '-', '-']
ALEXANDER VOLKOV;TOM ASPINALL;03/19/2022;['-', '-', '-'];['-', '-', '-']
ALEX MORONO;MICKEY GALL;12/04/2021;['30', '30', '30'];['27', '27', '27']
GILLIAN ROBERTSON;PRISCILA CACHOEIRA;12/11/2021;['-', '-', '-'];['-', '-', '-']
PIERA RODRIGUEZ;KAY HANSEN;04/09/2022;['29', '29', '29'];['28', '28', '28']
CLAY GUIDA;LEONARDO SANTOS;12/04/2021;['9', '9', '9'];['10', '10', '10']
JACK SHORE;YOUSSEF ZALAL;11/02/2024;['9', '9', '9'];['10', '10', '10']
MOLLY MCCANN;LUANA CAROLINA;03/19/2022;['20', '20', '20'];['18', '18', '17']
CURTIS BLAYDES;CHRIS DAUKAUS;03/26/2022;['10', '10', '10'];['9', '9', '9']
RYAN HALL;DARRICK MINNER;12/11/2021;['30', '29', '30'];['27', '27', '27']
RINAT FAKHRETDINOV;NICOLAS DALBY;06/22/2024;['29', '29', '28'];['28', '28', '29']
FARES ZIAM;MATT FREVOLA;09/28/2024;['20', '20', '20'];['18', '18', '17']
CYNTHIA CALVILLO;LOOPY GODINEZ;04/08/2023;['29', '28', '27'];['28', '29', '30']
DANIEL BAREZ;VICTOR ALTAMIRANO;09/28/2024;['29', '29', '29'];['28', '28', '28']
NATE LANDWEHR;AUSTIN LINGO;03/25/2023;['9', '9', '9'];['10', '10', '10']
JOSH EMMETT;DAN IGE;12/11/2021;['29', '30', '29'];['28', '27', '28']
SANTIAGO PONZINIBBIO;MUSLIM SALIKHOV;07/13/2024;['28', '29', '28'];['29', '28', '29']
DAKOTA BUSH;VIACHESLAV BORSHCHEV;01/15/2022;['-', '-', '-'];['-', '-', '-']
LIANG NA;JJ ALDRICH;08/26/2023;['10', '10', '9'];['9', '9', '10']
KAAN OFLI;MAIRON SANTOS;08/24/2024;['9', '9', '9'];['10', '10', '10']
VICENTE LUQUE;RAFAEL DOS ANJOS;08/12/2023;['48', '48', '49'];['47', '47', '46']
JASMINE JASUDAVICIUS;FATIMA KLINE;07/13/2024;['30', '30', '30'];['27', '27', '27']
JESSICA ANDRADE;TATIANA SUAREZ;08/05/2023;['9', '9', '9'];['10', '10', '10']
DRAKKAR KLOSE;RAFA GARCIA;07/30/2022;['29', '29', '29'];['28', '28', '28']
RODOLFO VIEIRA;DUSTIN STOLTZFUS;07/17/2021;['19', '19', '19'];['19', '19', '19']
JULIO ARCE;ANDRE EWELL;07/24/2021;['10', '10', '10'];['9', '9', '9']
AUGUSTO SAKAI;SERGHEI SPIVAC;08/06/2022;['9', '9', '9'];['10', '10', '10']
MAKWAN AMIRKHANI;IONATHAN PEARCE;07/23/2022;['9', '9', '9'];['10', '10', '10']
ROBERT BRYCZEK;IHOR POTIERIA;02/10/2024;['27', '28', '27'];['30', '29', '30']
ALEXANDER VOLKANOVSKI;MAX HOLLOWAY;07/02/2022;['50', '50', '50'];['45', '45', '45']
UROS MEDIC;AALON CRUZ;03/06/2021;['-', '-', '-'];['-', '-', '-']
JOANNE WOOD;MARYNA MOROZ;03/09/2024;['28', '29', '29'];['29', '28', '28']
ERYK ANDERS;JAMIE PICKETT;03/02/2024;['29', '29', '29'];['27', '28', '28']
DWIGHT GRANT;DUSTIN STOLTZFUS;07/16/2022;['28', '28', '28'];['29', '29', '29']
RANDY BROWN;MUSLIM SALIKHOV;02/03/2024;['-', '-', '-'];['-', '-', '-']
MATTHEW SEMELSBERGER;JASON WITT;03/13/2021;['-', '-', '-'];['-', '-', '-']
MATEUSZ GAMROT;RAFAEL DOS ANJOS;03/09/2024;['29', '30', '29'];['28', '27', '28']
MONTEL JACKSON;JESSE STRADER;03/20/2021;['-', '-', '-'];['-', '-', '-']
TAGIR ULANBEKOV;NATE MANESS;11/05/2022;['-', '-', '-'];['-', '-', '-']
LUKE SANDERS;FELIPE COLARES;05/01/2021;['28', '28', '28'];['29', '29', '29']
ALEX OLIVEIRA;RANDY BROWN;04/24/2021;['9', '8', '10'];['10', '10', 'WHITE JUDGE']
ANDREI ARLOVSKI;MARCOS ROGERIO DE LIMA;10/29/2022;['-', '-', '-'];['-', '-', '-']
FARID BASHARAT;KLEYDSON RODRIGUES;09/02/2023;['-', '-'];['-', '-']
BRAD RIDDELL;RENATO MOICANO;11/12/2022;['-', '-', '-'];['-', '-', '-']
SHANE YOUNG;GABRIEL MIRANDA;09/10/2023;['-', '-', '-'];['-', '-', '-']
JOSEFINE KNUTSSON;JULIA POLASTRI;06/15/2024;['29', '29', '29'];['28', '28', '28']
SEAN O'MALLEY;THOMAS ALMEIDA;03/27/2021;['19', '20', '20'];['18', '18', '17']
SHANE YOUNG;OMAR MORALES;03/27/2021;['27', '27', '27'];['30', '30', '30']
BRADY HIESTAND;GARRETT ARMFIELD;06/15/2024;['19', '19', '19'];['19', '19', '19']
VALENTINA SHEVCHENKO;JENNIFER MAIA;11/21/2020;['49', '49', '49'];['46', '46', '46']
EDGAR CHAIREZ;DANIEL LACERDA;09/16/2023;['-', '-', '-'];['-', '-', '-']
ABDUL RAZAK ALHASSAN;KHAOS WILLIAMS;11/14/2020;['-', '-', '-'];['-', '-', '-']
EDSON BARBOZA;LERONE MURPHY;05/18/2024;['46', '45', '45'];['49', '50', '50']
ALEXANDR ROMANOV;MARCOS ROGERIO DE LIMA;11/07/2020;['-', '-', '-'];['-', '-', '-']
UROS MEDIC;JALIN TURNER;09/25/2021;['-', '-', '-'];['-', '-', '-']
JOAQUIN BUCKLEY;ALBERT DURAEV;06/18/2022;['20', '20', '20'];['18', '18', '18']
ANDRE FIALHO;JAKE MATTHEWS;06/12/2022;['9', '9', '9'];['10', '10', '10']
DARRICK MINNER;TILA RAMIE;09/19/2020;['-', '-', '-'];['-', '-', '-']
ARIANE LIPSKI;MANDY BOHM;09/18/2021;['30', '30', '30'];['27', '27', '27']
BROK WEAVER;JALIN TURNER;09/12/2020;['9', '9', '9'];['10', '10', '10']
SAM ALVEY;WELLINGTON TURMAN;08/28/2021;['27', '27', '28'];['3Q28', '3Q', '29']
CHARLES JOHNSON;JIMMY FLICK;01/14/2023;['-', '-', '-'];['-', '-', '-']
UMAR NURMAGOMEDOV;RAONI BARCELOS;01/14/2023;['-', '-', '-'];['-', '-', '-']
ED HERMAN;MIKE RODRIGUEZ;09/12/2020;['18', '18', '18'];['20', '20', '20']
VINC PICHEL;AUSTIN HUBBARD;08/21/2021;['30', '30', '30'];['27', '27', '27']
DREW DOBER;MATT FREVOLA;05/06/2023;['-', '-', '-'];['-', '-', '-']
DANIEL RODRIGUEZ;IAN GARRY;05/13/2023;['-', '-', '-'];['-', '-', '-']
ROOSEVELT ROBERTS;IGNACIO BAHAMONDES;08/21/2021;['18', '19', '18'];['20', '19', '20']
EMILY DUCOTE;LOOPY GODINEZ;05/20/2023;['27', '28', '28'];['30', '29', '29']
YAZMIN JAUREGUI;ISTELA NUNES;12/03/2022;['9', '9', '9'];['10', '10', '10']
ANGELA HILL;EMILY DUCOTE;12/03/2022;['30', '30', '30'];['27', '27', '27']
ISRAEL ADESANYA;ROBERT WHITTAKER;02/12/2022;['48', '48', '49'];['47', '47', '46']
NIKO PRICE;PHIL ROWE;12/03/2022;['18', '18', '18'];['20', '20', '20']
MARCELO ROJO;FRANCIS MARSHALL;12/03/2022;['9', '9', '9'];['10', '10', '10']
EDMEN SHAHBAZYAN;ANTHONY HERNANDEZ;05/20/2023;['18', '18', '18'];['19', '19', '19']
ANTHONY SMITH;JOHNNY WALKER;05/13/2023;['28', '27', '27'];['29', '30', '30']
WILLIAM KNIGHT;FABIO CHERANT;08/21/2021;['-', '-', '-'];['-', '-', '-']
TREVIN JONES;SAIDYOKUB KAKHRAMONOV;08/21/2021;['18', '18', '19'];['20', '20', '19']
KRON GRACIE;CHARLES JOURDAIN;05/06/2023;['27', '27', '27'];['30', '30', '30']
JAVID BASHARAT;MATEUS MENDONCA;01/14/2023;['30', '30', '29'];['27', '27', '28']
ROXANNE MODAFFERI;ANDREA LEE;09/12/2020;['29', '29', '29'];['28', '28', '28']
DUSTIN JACOBY;DARREN STEWART;08/28/2021;['-', '-', '-'];['-', '-', '-']
ALEXANDR ROMANOV;ROQUE MARTINEZ;09/12/2020;['10', '10', '10'];['8', '8', '8']
JARED CANNONIER;SEAN STRICKLAND;12/17/2022;['49', '46', '49'];['46', '49', '46']
JACK DELLA MADDALENA;RAMAZAN EMEEV;06/12/2022;['3', '-'];['TOTA', '-']
NICOLAE NEGUMEREANU;KENNEDY NNZECHUKWU;03/05/2022;['29', '29', '27'];['2827', '27', '3Q29']
ARMAN TSARUKYAN;CHRISTOS GIAGOS;09/18/2021;['-', '-', '-'];['-', '-', '-']
JOURNEY NEWSON;RANDY COSTA;09/19/2020;['-', '-', '-'];['-', '-', '-']
CODY BRUNDAGE;NICK MAXIMOV;09/25/2021;['28', '28', '28'];['29', '29', '29']
DAMIR ISMAGULOV;GURAM KUTATELADZE;06/18/2022;['28', '29', '30'];['29', '28', '27']
GIGA CHIKADZE;JAMEY SIMMONS;11/07/2020;['-', '-', '-'];['-', '-', '-']
MITCH RAPOSO;ANDRE LIMA;06/01/2024;['27', '27', '29'];['30', '30', '28']
PAUL FELDER;RAFAEL DOS ANJOS;11/14/2020;['48', '45', '45'];['47', '50', '50']
DEIVESON FIGUEIREDO;ALEX PEREZ;11/21/2020;['-', '-', '-'];['-', '-', '-']
TIMMY CUAMBA;LUCAS ALMEIDA;06/15/2024;['28', '28', '28'];['29', '29', '29']
MODESTAS BUKAUSKAS;MICHAL OLEKSIEJCZUK;03/27/2021;['28', '28', '29'];['29', '29', '28']
ROMAN KOPYLOV;JOSH FREMD;09/16/2023;['10', '10', '10'];['9', '9', '9']
BLOOD DIAMOND;CHARLES RADTKE;09/10/2023;['27', '27', '27'];['29', '29', '29']
TYRON WOODLEY;VICENTE LUQUE;03/27/2021;['-', '-', '-'];['-', '-', '-']
JEKA SARAGIH;WESTIN WILSON;06/15/2024;['-', '-', '-'];['-', '-', '-']
DOMINICK REYES;RYAN SPANN;11/12/2022;['-', '-', '-'];['-', '-', '-']
ZARAH FAIRN;JACQUELINE CAVALCANTI;09/02/2023;['27', '27', '27'];['30', '30', '30']
DWIGHT GRANT;STEFAN SEKULIC;04/24/2021;['28', '29', '29'];['29', '28', '28']
JOSEPH HOLMES;JUNYONG PARK;10/29/2022;['10', '9', '10'];['9', '10', '9']
GRANT DAWSON;MARK MADSEN;11/05/2022;['20', '20', '20'];['18', '18', '18']
KAMARU USMAN;JORGE MASVIDAL;04/24/2021;['10', '9', '20'];['9', '10', '17']
TREVIN GILES;ROMAN DOLIDZE;03/20/2021;['29', '29', '29'];['28', '28', '28']
KATLYN CERMINARA;MAYCEE BARBER;03/09/2024;['27', '28', '27'];['30', '29', '30']
GLORIA DE PAULA;JINH YU FREY;03/13/2021;['28', '28', '28'];['29', '29', '29']
MATT SCHNELL;STEVE ERCEG;03/02/2024;['9', '9', '9'];['10', '10', '10']
RENATO MOICANO;DREW DOBER;02/03/2024;['29', '29', '29'];['28', '28', '28']
DUSTIN JACOBY;DA-UN JUNG;07/16/2022;['-', '-', '-'];['-', '-', '-']
ISRAEL ADESANYA;JARED CANNONIER;07/02/2022;['49', '50', '49'];['46', '45', '46']
DAN IGE;ANDRE FILI;02/10/2024;['-', '-', '-'];['-', '-', '-']
CJ VERGARA;ASU ALMABAYEV;03/09/2024;['27', '27', '27'];['30', '30', '30']
LIVINHA SOUZA;AMANDA LEMOS;03/06/2021;['-', '-', '-'];['-', '-', '-']
MUHAMMAD MOKAEY;CHARLES JOHNSON;07/23/2022;['30', '30', '30'];['27', '27', '27']
SIJARA EUBANKS;ELISE REED;07/24/2021;['-', '-', '-'];['-', '-', '-']
TERRANCE MCKINNEY;ERICK GONZALEZ;08/06/2022;['-', '-', '-'];['-', '-', '-']
MICHAEL MORALES;ADAM FUGITT;07/30/2022;['20', '19', '19'];['18', '19', '19']
GABRIEL BENITEZ;BILLY QUARANTILLO;07/17/2021;['18', '18', '18'];['20', '20', '20']
CORY SANDHAGEN;ROB FONT;08/05/2023;['50', '50', '50'];['45', '45', '45']
KARINE SILVA;MARYNA MOROZ;08/19/2023;['-', '-', '10'];['-', '-', '9']
JOSHUA VAN;CHARLES JOHNSON;07/13/2024;['18', '19', '20'];['20', '19', '18']
ROSE NAMAJUNAS;TRACY CORTEZ;07/13/2024;['49', '49', '48'];['46', '46', '47']
ROBERT VALENTIN;RYAN LODER;08/24/2024;['9', '9', '9'];['10', '10', '10']
BILLY GOFF;YUSAKU KINOSHITA;08/26/2023;['-', '-', '-'];['-', '-', '-']
KATLYN CHOOKAGIAN;JENNIFER MAIA;01/15/2022;['30', '30', '30'];['27', '27', '27']
ANDREA LEE;MAYCEE BARBER;03/25/2023;['28', '27'];['29', '30']
NORA CORNOLLE;JACQUELINE CAVALCANTI;09/28/2024;['29', '28', '28'];['28', '29', '29']
PEDRO MUNHOZ;DOMINICK CRUZ;12/11/2021;['28', '28', '28'];['29', '29', '29']
KYUNG HO KANG;MUIN GAFUROV;06/22/2024;['27', '27', '27'];['30', '30', '30']
IGNACIO BAHAMONDES;TREY OGDEN;04/08/2023;['30', '29', '30'];['27', '28', '27']
ION CUTELABA;IVAN ERSLAN;09/28/2024;['28', '29', '29'];['29', '28', '28']
JOANNE WOOD;ALEXA GRASSO;03/26/2022;['-', '-', '-'];['-', '-', '-']
RANDY COSTA;TONY KELLEY;12/11/2021;['9', '9', '9'];['10', '10', '10']
ALEXANDR ROMANOV;RODRIGO NASCIMENTO;11/02/2024;['30', '30', '30'];['27', '27', '27']
BRENDAN ALLEN;CHRIS CURTIS;12/04/2021;['9', '9', '9'];['10', '10', '10']
GUNNAR NELSON;TAKASHI SATO;03/19/2022;['30', '30', '30'];['26', '26', '26']
JOSH EMMETT;ILIA TOPURIA;06/24/2023;['44', '42', '45'];['50', '50', '49']
LEON EDWARDS;KAMARU USMAN;03/18/2023;['4948', '48', '47'];['46', '46', '47']
ROBERT WHITTAKER;KHAMZAT CHIMAEV;10/26/2024;['-', '-', '-'];['-', '-', '-']
MIGUEL BAEZA;ANDRE FIALHO;04/16/2022;['-', '-', '-'];['-', '-', '-']
ULIANA MILLER;VERONICA HARDY;03/18/2023;['27', '27', '27'];['30', '30', '30']
THIAGO MOISES;JOEL ALVAREZ;11/13/2021;['-', '-', '-'];['-', '-', '-']
ALEXANDER;CHAN SUNG JUNG;04/09/2022;['30', '30', '30'];['26', '26', '26']
CHARLES JOHNSON;SUMUDAERJI;10/19/2024;['29', '29', '29'];['28', '28', '28']
DRAKKAR KLOSE;BRANDON JENKINS;04/16/2022;['10', '10', '10'];['8', '8', '8']
JON JONES;CIRYL GANE;03/04/2023;['-', '-', '-'];['-', '-', '-']
JOANNE WOOD;TAILA SANTOS;11/20/2021;['-', '-', '-'];['-', '-', '-']
AUGUSTO SAKAI;DON'TALE MAYES;02/25/2023;['30', '30', '30'];['27', '27', '27']
NAZIM SADYKHOV;EVAN ELDER;02/18/2023;['18', '18'];['20', '20']
STEPHANIE LUCIANO;TALITA ALENCAR;08/10/2024;['30', '30', '30'];['27', '27', '27']
NICOLAE NEGUMEREANU;IKE VILLANUEVA;10/23/2021;['-', '-', '-'];['-', '-', '-']
