red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
JOSE ALDO;PEDRO MUNHOZ;08/07/2021;['30', '30', '30'];['27', '27', '27']
MATT BROWN;COURT MCGEE;05/13/2023;['-', '-', '-'];['-', '-', '-']
MICHAEL CHIESA;VICENTE LUQUE;08/07/2021;['-', '-', '-'];['-', '-', '-']
KARL WILLIAMS;CHASE SHERMAN;05/13/2023;['30', '30', '29'];['27', '27', '28']
BELAL MUHAMMAD;GILBERT BURNS;05/06/2023;['50', '49', '49'];['45', '46', '46']
JARED CANNONIER;KELVIN GASTELUM;08/21/2021;['48', '48', '48'];['47', '47', '47']
TAI TUIVASA;SERGEI PAVLOVICH;12/03/2022;['-', '-', '-'];['-', '-', '-']
JAIRZINHO;JAILTON ALMEIDA;05/13/2023;['-', '-', '-'];['-', '-', '-']
JACK DELLA MADDALENA;DANNY ROBERTS;11/19/2022;['-', '-', '-'];['-', '-', '-']
MIKE RODRIGUEZ;TAFON NCHUKWI;09/18/2021;['27', '27', '27'];['30', '30', '30']
ROMAN DOLIDZE;KYLE DAUKAUS;06/18/2022;['-', '-', '-'];['-', '-', '-']
JASMINE JASUDAVICIUS;NATALIA SILVA;06/18/2022;['26', '27', '27'];['30', '30', '30']
DONALD CERRONE;NIKO PRICE;09/19/2020;['28', '28', '29'];['28', '28', '27']
MARLON MORAES;MERAB DVALISHVILI;09/25/2021;['10', '10', '9'];['9', '9', '10']
TYSON NAM;JEROME RIVERA;09/19/2020;['9', '9', '9'];['10', '10', '10']
JACK SHORE;LIUDVIK SHOLINIAN;09/04/2021;['30', '30', '30'];['27', '27', '27']
SEAN STRICKLAND;NASSOURDINE IMAVOV;01/14/2023;['48', '49', '49'];['47', '46', '46']
ALEX CACERES;JULIAN EROSA;12/17/2022;['-', '-', '-'];['-', '-', '-']
OVINCE SAINT PREUX;ALONZO MENIFIELD;09/05/2020;['10', '10', '9'];['9', '9', '10']
