red_fighter_name;blue_fighter_name;event_date
HAKEEM DAWODU;ZUBAIRA TUKHUGOV;26/09/2020
BRAD RIDDELL;ALEX DA SILVA;26/09/2020
DIEGO SANCHEZ;JAKE MATTHEWS;26/09/2020
SHANE YOUNG;LUDOVIT KLEIN;26/09/2020
WILLIAM KNIGHT;ALEKSA CAMUR;26/09/2020
JUAN ESPINO;JEFF HUGHES;26/09/2020
KHADIS IBRAGIMOV;DANILO MARQUES;26/09/2020
MACKENZIE DERN;RANDA MARKOS;19/09/2020
KEVIN HOLLAND;DARREN STEWART;19/09/2020
DARRICK MINNER;TJ LARAMIE;19/09/2020
MICHELLE WATERSON-GOMEZ;ANGELA HILL;12/09/2020
KING GREEN;ALAN PATRICK;12/09/2020
ANDRE MUNIZ;BARTOSZ FABINSKI;05/09/2020
RICARDO LAMAS;BILL ALGEO;29/08/2020
MAKI PITOLO;IMPA KASANGANAY;29/08/2020
