red_fighter_name;blue_fighter_name;event_date
ODE OSBOURNE;ASU ALMABAYEV;05/08/2023
TONY FERGUSON;KING GREEN;29/07/2023
GABRIEL BONFIM;TREVIN GILES;29/07/2023
CJ VERGARA;VINICIUS SALVADOR;29/07/2023
ROMAN KOPYLOV;CLAUDIO RIBEIRO;29/07/2023
JAKE MATTHEWS;DARRIUS FLOWERS;29/07/2023
MATTHEW SEMELSBERGER;UROS MEDIC;29/07/2023
MIRANDA MAVERICK;PRISCILA CACHOEIRA;29/07/2023
ARIANE DA SILVA;MELISSA GATTO;01/07/2023
RANDY BROWN;WELLINGTON TURMAN;24/06/2023
MIRANDA MAVERICK;JASMINE JASUDAVICIUS;10/06/2023
AIEMANN ZAHABI;AORIQILENG;10/06/2023
ANDREI ARLOVSKI;DON'TALE MAYES;03/06/2023
JOHN CASTANEDA;MUIN GAFUROV;03/06/2023
JAMIE MULLARKEY;MUHAMMAD NAIMOV;03/06/2023
PHILIPE LINS;MAXIM GRISHIN;03/06/2023
MAHESHATE;VIACHESLAV BORSHCHEV;20/05/2023
CHASE HOOPER;NICK FIORE;20/05/2023
NATALIA SILVA;VICTORIA LEONARDO;20/05/2023
JAIRZINHO ROZENSTRUIK;JAILTON ALMEIDA;13/05/2023
DANIEL RODRIGUEZ;IAN MACHADO GARRY;13/05/2023
CODY STAMANN;DOUGLAS SILVA DE ANDRADE;13/05/2023
KENNEDY NZECHUKWU;DEVIN CLARK;06/05/2023
PHIL HAWES;IKRAM ALISKEROV;06/05/2023
JOSEPH HOLMES;CLAUDIO RIBEIRO;06/05/2023
BRAD TAVARES;BRUNO SILVA;22/04/2023
KAROL ROSA;NORMA DUMONT;22/04/2023
MAX HOLLOWAY;ARNOLD ALLEN;15/04/2023
EDSON BARBOZA;BILLY QUARANTILLO;15/04/2023
TANNER BOSER;ION CUTELABA;15/04/2023
BILL ALGEO;TJ BROWN;15/04/2023
BRANDON ROYVAL;MATHEUS NICOLAU;15/04/2023
GILLIAN ROBERTSON;PIERA RODRIGUEZ;15/04/2023
LANDO VANNATA;DANIEL ZELLHUBER;15/04/2023
SHAYILAN NUERDANBIEKE;STEVE GARCIA;08/04/2023
CHIDI NJOKUANI;ALBERT DURAEV;25/03/2023
CJ VERGARA;DANIEL LACERDA;25/03/2023
VICTOR ALTAMIRANO;VINICIUS SALVADOR;25/03/2023
CHRISTIAN LEROY DUNCAN;DUSKO TODOROVIC;18/03/2023
JULIANA MILLER;VERONICA HARDY;18/03/2023
ALEXANDER VOLKOV;ALEXANDR ROMANOV;11/03/2023
VITOR PETRINO;ANTON TURKALJ;11/03/2023
KARL WILLIAMS;LUKASZ BRZESKI;11/03/2023
ARIANE DA SILVA;JJ ALDRICH;11/03/2023
IAN MACHADO GARRY;SONG KENAN;04/03/2023
CLAYTON CARPENTER;JUANCAMILO RONDEROS;18/02/2023
ISLAM MAKHACHEV;ALEXANDER VOLKANOVSKI;11/02/2023
