red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
MAYCEE BARBER;MONTANA DE LA ROSA;23/04/2022;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;27 27 27
LANDO VANNATA;CHARLES JOURDAIN;23/04/2022;L;W;Submission;Featherweight Bout;-;- - -;- - -
JORDAN WRIGHT;MARC-ANDRE BARRIAULT;23/04/2022;L;W;Submission;Catch Weight Bout;-;- - -;- - -
DWIGHT GRANT;SERGEY KHANDOZHKO;23/04/2022;L;W;KO/TKO;Welterweight Bout;fight;10 10 10;9 9 9
TYSON PEDRO;IKE VILLANUEVA;23/04/2022;W;L;KO/TKO;Light Heavyweight Bout;-;- - -;- - -
AORIQILENG;CAMERON ELSE;23/04/2022;W;L;KO/TKO;Bantamweight Bout;-;- - -;- - -
PRESTON PARSONS;EVAN ELDER;23/04/2022;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;26 27 27
MARCIN PRACHNIO;PHILIPE LINS;23/04/2022;L;W;Decision - Unanimous;Light Heavyweight Bout;-;28 28 28;29 29 29
DEAN BARRY;MIKE JACKSON;23/04/2022;L;W;DQ;Welterweight Bout;-;- - -;- - -
VICENTE LUQUE;BELAL MUHAMMAD;16/04/2022;L;W;Decision - Unanimous;Welterweight Bout;-;46 46 47;49 49 48
CAIO BORRALHO;GADZHI OMARGADZHIEV;16/04/2022;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 29;27 27 27
MIGUEL BAEZA;ANDRE FIALHO;16/04/2022;L;W;KO/TKO;Welterweight Bout;perf;- - -;- - -
MAYRA BUENO SILVA;WU YANAN;16/04/2022;W;L;Decision - Unanimous;Women's Bantamweight Bout;fight;29 29 30;28 28 27
PAT SABATINI;TJ LARAMIE;16/04/2022;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 30;26 26 26
MOUNIR LAZZEZ;ANGE LOOSA;16/04/2022;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;27 27 27
DEVIN CLARK;WILLIAM KNIGHT;16/04/2022;W;L;KO/TKO;Heavyweight Bout;-;19 19 19;19 19 19
LINA LANSBERG;PANNIE KIANZAD;16/04/2022;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;28 28 28;29 29 29
DRAKKAR KLOSE;BRANDON JENKINS;16/04/2022;W;L;KO/TKO;Lightweight Bout;perf;10 10 10;8 8 8
RAFA GARCIA;JESSE RONSON;16/04/2022;W;L;Submission;Lightweight Bout;-;10 10 10;9 9 9
CHRIS BARNETT;MARTIN BUDAY;16/04/2022;L;W;Decision - Unanimous;Heavyweight Bout;-;27 27 27;30 30 30
JORDAN LEAVITT;TREY OGDEN;16/04/2022;W;L;Decision - Split;Lightweight Bout;-;29 29 28;28 28 29
ISTELA NUNES;SAM HUGHES;16/04/2022;L;W;Decision - Majority;Women's Strawweight Bout;-;27 27 28;29 29 28
ALATENGHEILI;KEVIN CROOM;16/04/2022;W;L;KO/TKO;Bantamweight Bout;-;- - -;- - -
ALEXANDER VOLKANOVSKI;CHAN SUNG JUNG;09/04/2022;W;L;KO/TKO;UFC Featherweight Title Bout;belt;30 30 30;26 26 26
ALJAMAIN STERLING;PETR YAN;09/04/2022;W;L;Decision - Split;UFC Bantamweight Title Bout;belt;48 47 48;47 48 47
GILBERT BURNS;KHAMZAT CHIMAEV;09/04/2022;L;W;Decision - Unanimous;Welterweight Bout;fight;28 28 28;29 29 29
MACKENZIE DERN;TECIA PENNINGTON;09/04/2022;W;L;Decision - Split;Women's Strawweight Bout;-;29 29 28;28 28 29
VINC PICHEL;MARK MADSEN;09/04/2022;L;W;Decision - Unanimous;Lightweight Bout;-;27 28 27;30 29 30
IAN MACHADO GARRY;DARIAN WEEKS;09/04/2022;W;L;Decision - Unanimous;Welterweight Bout;-;29 30 30;28 27 27
ANTHONY HERNANDEZ;JOSH FREMD;09/04/2022;W;L;Decision - Unanimous;Middleweight Bout;-;30 29 30;27 28 27
ASPEN LADD;RAQUEL PENNINGTON;09/04/2022;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;28 28 28;29 29 29
MICKEY GALL;MIKE MALOTT;09/04/2022;L;W;KO/TKO;Welterweight Bout;-;- - -;- - -
ALEKSEI OLEINIK;JARED VANDERAA;09/04/2022;W;L;Submission;Heavyweight Bout;perf;- - -;- - -
PIERA RODRIGUEZ;KAY HANSEN;09/04/2022;W;L;Decision - Unanimous;Women's Strawweight Bout;-;29 29 29;28 28 28
JULIO ARCE;DANIEL SANTOS;09/04/2022;W;L;Decision - Unanimous;Bantamweight Bout;-;30 29 30;27 28 27
CURTIS BLAYDES;CHRIS DAUKAUS;26/03/2022;W;L;KO/TKO;Heavyweight Bout;perf;10 10 10;9 9 9
JOANNE WOOD;ALEXA GRASSO;26/03/2022;L;W;Submission;Women's Flyweight Bout;-;- - -;- - -
MATT BROWN;BRYAN BARBERENA;26/03/2022;L;W;Decision - Split;Welterweight Bout;fight;28 29 28;29 28 29
ASKAR ASKAROV;KAI KARA-FRANCE;26/03/2022;L;W;Decision - Unanimous;Flyweight Bout;-;28 28 28;29 29 29
NEIL MAGNY;MAX GRIFFIN;26/03/2022;W;L;Decision - Split;Welterweight Bout;-;29 28 29;28 29 28
MARC DIAKIESE;VIACHESLAV BORSHCHEV;26/03/2022;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 30;27 27 27
SARA MCMANN;KAROL ROSA;26/03/2022;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;29 29 29;28 28 28
CHRIS GUTIERREZ;BATGEREL DANAA;26/03/2022;W;L;KO/TKO;Bantamweight Bout;perf;9 9 9;10 10 10
ALIASKHAB KHIZRIEV;DENIS TIULIULIN;26/03/2022;W;L;Submission;Middleweight Bout;-;10 10 10;9 9 9
JENNIFER MAIA;MANON FIOROT;26/03/2022;L;W;Decision - Unanimous;Women's Flyweight Bout;-;27 27 27;30 30 30
MATHEUS NICOLAU;DAVID DVORAK;26/03/2022;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;28 28 28
LUIS SALDANA;BRUNO SOUZA;26/03/2022;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
ALEXANDER VOLKOV;TOM ASPINALL;19/03/2022;L;W;Submission;Heavyweight Bout;perf;- - -;- - -
ARNOLD ALLEN;DAN HOOKER;19/03/2022;W;L;KO/TKO;Featherweight Bout;perf;- - -;- - -
PADDY PIMBLETT;KAZULA VARGAS;19/03/2022;W;L;Submission;Lightweight Bout;perf;- - -;- - -
GUNNAR NELSON;TAKASHI SATO;19/03/2022;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;26 26 26
MOLLY MCCANN;LUANA CAROLINA;19/03/2022;W;L;KO/TKO;Women's Flyweight Bout;perf;20 20 20;18 18 17
JAI HERBERT;ILIA TOPURIA;19/03/2022;L;W;KO/TKO;Lightweight Bout;perf;10 10 10;9 9 9
MIKE GRUNDY;MAKWAN AMIRKHANI;19/03/2022;L;W;Submission;Featherweight Bout;perf;- - -;- - -
SHAMIL ABDURAKHIMOV;SERGEI PAVLOVICH;19/03/2022;L;W;KO/TKO;Heavyweight Bout;perf;- - -;- - -
NIKITA KRYLOV;PAUL CRAIG;19/03/2022;L;W;Submission;Light Heavyweight Bout;perf;- - -;- - -
JACK SHORE;TIMUR VALIEV;19/03/2022;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;28 28 27
CORY MCKENNA;ELISE REED;19/03/2022;L;W;Decision - Split;Women's Strawweight Bout;-;30 28 28;27 29 29
MUHAMMAD MOKAEV;CODY DURDEN;19/03/2022;W;L;Submission;Flyweight Bout;perf;- - -;- - -
THIAGO SANTOS;MAGOMED ANKALAEV;12/03/2022;L;W;Decision - Unanimous;Light Heavyweight Bout;-;47 46 46;48 49 49
MARLON MORAES;SONG YADONG;12/03/2022;L;W;KO/TKO;Bantamweight Bout;perf;- - -;- - -
SODIQ YUSUFF;ALEX CACERES;12/03/2022;W;L;Decision - Unanimous;Featherweight Bout;-;29 30 30;28 27 27
KHALIL ROUNTREE JR.;KARL ROBERSON;12/03/2022;W;L;KO/TKO;Light Heavyweight Bout;perf;10 10 9;9 9 10
DREW DOBER;TERRANCE MCKINNEY;12/03/2022;W;L;KO/TKO;Lightweight Bout;-;- - -;- - -
ALEX PEREIRA;BRUNO SILVA;12/03/2022;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
MATTHEW SEMELSBERGER;AJ FLETCHER;12/03/2022;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
JJ ALDRICH;GILLIAN ROBERTSON;12/03/2022;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;27 27 27
TREVIN JONES;JAVID BASHARAT;12/03/2022;L;W;Decision - Unanimous;Bantamweight Bout;-;28 27 27;29 30 30
DAMON JACKSON;KAMUELA KIRK;12/03/2022;W;L;Submission;Featherweight Bout;-;10 10 10;9 9 9
SABINA MAZO;MIRANDA MAVERICK;12/03/2022;L;W;Submission;Women's Flyweight Bout;-;9 9 9;10 10 10
DALCHA LUNGIAMBULA;CODY BRUNDAGE;12/03/2022;L;W;Submission;Middleweight Bout;perf;- - -;- - -
KRIS MOUTINHO;GUIDO CANNETTI;12/03/2022;L;W;KO/TKO;Bantamweight Bout;-;- - -;- - -
TAFON NCHUKWI;AZAMAT MURZAKANOV;12/03/2022;L;W;KO/TKO;Light Heavyweight Bout;perf;19 19 20;19 19 18
COLBY COVINGTON;JORGE MASVIDAL;05/03/2022;W;L;Decision - Unanimous;Welterweight Bout;fight;49 50 50;46 44 45
RAFAEL DOS ANJOS;RENATO MOICANO;05/03/2022;W;L;Decision - Unanimous;Catch Weight Bout;-;49 50 49;44 44 45
EDSON BARBOZA;BRYCE MITCHELL;05/03/2022;L;W;Decision - Unanimous;Featherweight Bout;-;25 26 27;30 30 30
KEVIN HOLLAND;ALEX OLIVEIRA;05/03/2022;W;L;KO/TKO;Welterweight Bout;perf;9 9 9;10 10 10
SERGHEI SPIVAC;GREG HARDY;05/03/2022;W;L;KO/TKO;Heavyweight Bout;-;- - -;- - -
JALIN TURNER;JAMIE MULLARKEY;05/03/2022;W;L;KO/TKO;Lightweight Bout;-;10 10 10;9 9 9
MARINA RODRIGUEZ;YAN XIAONAN;05/03/2022;W;L;Decision - Split;Women's Strawweight Bout;-;29 28 29;28 29 28
NICOLAE NEGUMEREANU;KENNEDY NZECHUKWU;05/03/2022;W;L;Decision - Split;Light Heavyweight Bout;-;29 29 27;27 27 29
MARYNA MOROZ;MARIYA AGAPOVA;05/03/2022;W;L;Submission;Women's Flyweight Bout;perf;10 10 10;9 9 9
BRIAN KELLEHER;UMAR NURMAGOMEDOV;05/03/2022;L;W;Submission;Featherweight Bout;-;- - -;- - -
TIM ELLIOTT;TAGIR ULANBEKOV;05/03/2022;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;28 28 28
DEVONTE SMITH;LUDOVIT KLEIN;05/03/2022;L;W;Decision - Split;Lightweight Bout;-;29 28 27;28 29 30
DUSTIN JACOBY;MICHAL OLEKSIEJCZUK;05/03/2022;W;L;Decision - Unanimous;Light Heavyweight Bout;-;29 29 29;28 28 28
ISLAM MAKHACHEV;KING GREEN;26/02/2022;W;L;KO/TKO;Catch Weight Bout;-;- - -;- - -
MISHA CIRKUNOV;WELLINGTON TURMAN;26/02/2022;L;W;Submission;Middleweight Bout;perf;10 10 10;9 9 9
JI YEON KIM;PRISCILA CACHOEIRA;26/02/2022;L;W;Decision - Unanimous;Women's Flyweight Bout;fight;28 28 28;29 29 29
ARMAN TSARUKYAN;JOEL ALVAREZ;26/02/2022;W;L;KO/TKO;Lightweight Bout;perf;10 10 10;9 9 9
ARMEN PETROSYAN;GREGORY RODRIGUES;26/02/2022;W;L;Decision - Split;Middleweight Bout;-;29 28 30;28 29 27
